species,x,y
Lacerta,-8.578882,41.775337
Lacerta,-8.578292,41.865402
Lacerta,-8.577699,41.955465
Lacerta,-8.459323,41.684769
Lacerta,-8.458568,41.774833
Lacerta,-8.457808,41.864896
Lacerta,-8.457046,41.954957
Lacerta,-8.33546,42.044381
Lacerta,-8.214645,42.043618
Lacerta,-8.213533,42.133672
Lacerta,-8.093835,42.042728
Lacerta,-8.340099,41.594077
Lacerta,-8.33918,41.684141
Lacerta,-8.338256,41.774203
Lacerta,-8.337329,41.864264
Lacerta,-8.336396,41.954323
Lacerta,-8.220127,41.593326
Lacerta,-8.219041,41.683387
Lacerta,-8.217949,41.773447
Lacerta,-8.216853,41.863506
Lacerta,-8.215751,41.953563
Lacerta,-8.10016,41.59245
Lacerta,-8.098907,41.682508
Lacerta,-8.097647,41.772565
Lacerta,-8.096382,41.862621
Lacerta,-8.095111,41.952675
Lacerta,-7.980199,41.591448
Lacerta,-7.978778,41.681504
Lacerta,-7.977351,41.771558
Lacerta,-7.975917,41.86161
Lacerta,-7.860244,41.590321
Lacerta,-7.858656,41.680373
