X,X_WGS84,Y_WGS84,Lacerta
705,-5.533863,43.459051,1
706,-5.537631,43.549003,1
707,-5.291685,40.222062,1
708,-5.294727,40.312081,1
709,-5.297782,40.402098,1
710,-5.300851,40.492114,1
711,-5.174245,40.224329,1
712,-5.177131,40.314355,1
713,-5.18003,40.404379,1
714,-5.182943,40.494402,1
715,-5.185868,40.584424,1
716,-5.056792,40.226476,1
717,-5.059523,40.316509,1
718,-5.062265,40.406541,1
719,-5.06502,40.496571,1
720,-5.067788,40.586599,1
721,-4.941902,40.318544,1
722,-4.944488,40.408582,1
723,-4.947086,40.498619,1
724,-4.949696,40.588653,1
725,-4.824269,40.32046,1
726,-4.826699,40.410504,1
727,-4.82914,40.500546,1
728,-4.706625,40.322256,1
729,-4.708899,40.412306,1
730,-4.711182,40.502354,1
731,-4.588971,40.323932,1
732,-4.591088,40.413987,1
733,-4.593215,40.504041,1
734,-4.471308,40.325489,1
735,-4.473268,40.415549,1
736,-4.359071,40.597115,1
737,-4.240919,40.598445,1
738,-4.360899,40.687175,1
739,-4.242588,40.688509,1
740,-5.389209,42.921927,1
741,-5.396198,43.101865,1
742,-5.399716,43.191832,1
743,-5.273413,43.104372,1
744,-5.276752,43.194346,1
745,-5.147469,43.016763,1
746,-5.021882,42.929007,1
747,-5.03377,43.288967,1
748,-4.91058,43.291092,1
749,-5.378845,42.652006,1
750,-5.382284,42.741981,1
751,-5.385738,42.831955,1
752,-5.256948,42.654474,1
753,-5.260211,42.744457,1
754,-5.135035,42.656812,1
755,-5.138122,42.746802,1
756,-5.141224,42.836791,1
757,-4.776929,42.933073,1
758,-4.782129,43.113081,1
759,-4.784748,43.203083,1
760,-4.787378,43.293084,1
761,-4.654434,42.934909,1
762,-4.659276,43.114929,1
763,-4.661714,43.204937,1
764,-4.664164,43.294943,1
765,-4.534164,43.026631,1
766,-4.538669,43.206659,1
767,-4.540938,43.29667,1
768,-4.290653,43.119682,1
769,-4.29255,43.209705,1
770,-4.294455,43.299726,1
771,-4.774346,42.843066,1
772,-4.283152,42.759577,1
773,-5.406803,43.371761,1
774,-5.41037,43.461722,1
775,-5.413955,43.551683,1
776,-5.283476,43.374291,1
777,-5.286861,43.464261,1
778,-5.160133,43.376688,1
779,-5.163336,43.466666,1
780,-5.036776,43.378953,1
781,-5.039796,43.468937,1
782,-4.913405,43.381084,1
783,-4.790021,43.383083,1
784,-4.543216,43.38668,1
785,-4.122759,40.599654,1
786,-3.774513,41.142998,1
787,-4.124269,40.689722,1
788,-4.125786,40.779789,1
789,-4.005943,40.690814,1
790,-4.007301,40.780884,1
791,-4.008665,40.870952,1
792,-4.011411,41.051085,1
793,-3.887611,40.691784,1
794,-3.88881,40.781857,1
795,-3.890013,40.871929,1
796,-3.891222,40.961999,1
797,-3.892436,41.052068,1
798,-3.770313,40.782709,1
799,-3.771356,40.872784,1
800,-3.772403,40.962856,1
801,-3.773456,41.052928,1
802,-3.651811,40.78344,1
803,-3.652694,40.873516,1
804,-3.65358,40.963591,1
805,-3.654471,41.053665,1
806,-3.536214,41.144354,1
807,-3.536949,41.234426,1
808,-3.417059,41.144847,1
809,-3.417631,41.234921,1
810,-3.418205,41.324994,1
811,-3.297901,41.145216,1
812,-3.298309,41.235292,1
813,-3.29872,41.325366,1
814,-3.299132,41.415439,1
815,-3.178741,41.145463,1
816,-3.179233,41.325614,1
817,-3.059581,41.145586,1
818,-3.059662,41.235663,1
819,-3.059744,41.325738,1
820,-3.535482,41.054279,1
821,-3.415922,40.964694,1
822,-3.416489,41.054771,1
823,-3.297494,41.055139,1
824,-4.046395,43.212221,1
825,-3.923306,43.213281,1
826,-4.160973,42.760881,1
827,-4.038786,42.762054,1
828,-3.915268,42.673056,1
829,-3.917923,42.853137,1
830,-3.793244,42.673966,1
831,-3.794392,42.76401,1
832,-3.795545,42.854053,1
833,-3.671216,42.674747,1
834,-3.672187,42.764793,1
835,-3.673163,42.854838,1
836,-3.554823,43.305705,1
837,-3.307786,43.216593,1
838,-3.30824,43.306636,1
839,-3.184673,43.216858,1
840,-3.061467,43.126945,1
841,-3.549977,42.765445,1
