X,X_WGS84,Y_WGS84,Rana
638,-6.513567,42.289527,1
639,-6.399788,42.106899,1
640,-6.396101,42.196867,1
641,-6.392397,42.286834,1
642,-6.388675,42.376799,1
643,-6.282818,42.014134,1
644,-6.279006,42.104095,1
645,-6.271243,42.284014,1
646,-6.162195,42.011213,1
647,-6.051998,42.008323,1
648,-6.049954,42.098321,1
649,-6.531069,41.839634,1
650,-6.527602,41.929627,1
651,-6.410751,41.836994,1
652,-6.407112,41.926957,1
653,-6.286641,41.924171,1
654,-6.166187,41.921259,1
655,-6.05606,41.828324,1
656,-6.484716,43.009269,1
657,-6.362143,43.006508,1
658,-6.112834,43.090526,1
659,-6.502872,42.559443,1
660,-6.499274,42.649412,1
661,-6.247611,42.823726,1
662,-6.12543,42.820721,1
663,-6.037488,42.638278,1
664,-6.033257,42.818253,1
665,-6.466137,43.459054,1
666,-6.342662,43.456249,1
667,-6.338711,43.546192,1
668,-6.219205,43.453311,1
669,-6.215071,43.543245,1
670,-5.50024,39.497085,1
671,-5.503474,39.587101,1
672,-5.506723,39.677116,1
673,-5.380976,39.409501,1
674,-5.384046,39.499527,1
675,-5.38713,39.589551,1
676,-5.967719,40.11662,1
677,-5.754025,40.031827,1
678,-5.757655,40.121817,1
679,-5.640429,40.124551,1
680,-5.523186,40.127166,1
681,-5.405929,40.129663,1
682,-5.264918,39.411819,1
683,-5.267839,39.501853,1
684,-5.270773,39.591884,1
685,-5.288657,40.132041,1
686,-5.171372,40.134301,1
687,-5.054074,40.136442,1
688,-5.969661,40.206643,1
689,-5.97752,40.566719,1
690,-5.878667,40.208943,1
691,-5.882485,40.298921,1
692,-5.886321,40.388896,1
693,-5.890174,40.47887,1
694,-5.894044,40.568843,1
695,-5.761302,40.211805,1
696,-5.764965,40.301791,1
697,-5.768645,40.391776,1
698,-5.776054,40.571741,1
699,-5.643921,40.214548,1
700,-5.647429,40.304543,1
701,-5.650952,40.394536,1
702,-5.526524,40.217171,1
703,-5.529876,40.307175,1
704,-5.533244,40.397177,1
705,-5.536627,40.487177,1
706,-5.540025,40.577175,1
707,-5.409112,40.219676,1
708,-5.412309,40.309688,1
709,-5.97752,43.178244,1
710,-5.966785,42.728322,1
711,-5.968914,42.818309,1
712,-5.866269,42.64084,1
713,-5.87041,42.73078,1
714,-5.874571,42.820718,1
715,-5.752389,42.823723,1
716,-5.899938,43.360312,1
717,-5.291685,40.222062,1
718,-5.294727,40.312081,1
719,-5.297782,40.402098,1
720,-5.300851,40.492114,1
721,-5.174245,40.224329,1
722,-5.177131,40.314355,1
723,-5.18003,40.404379,1
724,-5.182943,40.494402,1
725,-5.185868,40.584424,1
726,-5.056792,40.226476,1
727,-5.059523,40.316509,1
728,-5.062265,40.406541,1
729,-5.06502,40.496571,1
730,-5.067788,40.586599,1
731,-4.939327,40.228505,1
732,-4.941902,40.318544,1
733,-4.944488,40.408582,1
734,-4.947086,40.498619,1
735,-4.949696,40.588653,1
736,-4.824269,40.32046,1
737,-4.82914,40.500546,1
738,-4.706625,40.322256,1
739,-4.708899,40.412306,1
740,-4.588971,40.323932,1
741,-4.591088,40.413987,1
742,-4.471308,40.325489,1
743,-4.473268,40.415549,1
744,-4.359071,40.597115,1
745,-4.240919,40.598445,1
746,-4.242588,40.688509,1
747,-4.244265,40.778572,1
748,-5.392695,43.011897,1
749,-5.150613,43.106747,1
750,-5.03377,43.288967,1
751,-5.135035,42.656812,1
752,-4.779523,43.023078,1
753,-4.654434,42.934909,1
754,-4.661714,43.204937,1
755,-5.406803,43.371761,1
756,-5.283476,43.374291,1
757,-5.160133,43.376688,1
758,-4.122759,40.599654,1
759,-4.124269,40.689722,1
760,-4.125786,40.779789,1
761,-4.007301,40.780884,1
762,-4.008665,40.870952,1
763,-3.88881,40.781857,1
764,-3.890013,40.871929,1
765,-3.891222,40.961999,1
