X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-5.899938,43.360312,train,1.1310100681200666E42,100.0,1.0
-5.291685,40.222062,train,6.003558504468384E296,100.0,1.0
-5.294727,40.312081,train,2.0281358186758253E299,100.0,1.0
-5.297782,40.402098,train,6.09013906492089E298,100.0,1.0
-5.300851,40.492114,train,3.386277852748341E298,100.0,1.0
-5.174245,40.224329,train,6.61048529195796E-4,0.22230617152955928,0.0030743856650201694
-5.177131,40.314355,train,9.64022749537695E298,100.0,1.0
-5.18003,40.404379,train,5.064155354459E298,100.0,1.0
-5.182943,40.494402,train,5.344104200328489E298,100.0,1.0
-5.056792,40.226476,train,3.3960022661865274E-6,0.0010370128790046903,1.5842486276838334E-5
-5.059523,40.316509,train,1.4550163261155285E-5,0.033524555157079014,6.787356126728903E-5
-5.067788,40.586599,train,8.657626085646052E-4,0.30278660011274205,0.004022634209472085
-4.939327,40.228505,train,3.7875042174840227E-6,0.001879900184924075,1.766882625430062E-5
-4.941902,40.318544,train,1.7047587094278813E-5,0.037709156710842275,7.952261060807956E-5
-4.944488,40.408582,train,1.7012668504597852E-5,0.03765064826598155,7.935973729191308E-5
-4.947086,40.498619,train,0.07269475845547671,24.150559153749253,0.2532461348030296
-4.82914,40.500546,train,1.3039858528787663E-5,0.030993938028380793,6.082872449076373E-5
-4.706625,40.322256,train,3.2819814485622284E-6,8.363128328704537E-4,1.5310582750198965E-5
-4.708899,40.412306,train,1.2363361011178927E-5,0.029860420951400738,5.767316051373412E-5
-4.591088,40.413987,train,1.347937392367409E-5,0.0317303756245754,6.287886021344311E-5
-4.473268,40.415549,train,7.09608068858454E-6,0.014117362806700161,3.310292858325687E-5
-4.359071,40.597115,train,4.987903899357991E-4,0.1727200322108702,0.0023215120062315265
-4.242588,40.688509,train,0.0010734543945636272,0.45429818036271197,0.004982834010643428
-4.244265,40.778572,train,6.54995754447919E-6,0.0116948668039217,3.0555364111818964E-5
-5.150613,43.106747,train,Infinity,100.0,NaN
-5.03377,43.288967,train,2.1769755014138196E25,100.0,1.0
-4.654434,42.934909,train,Infinity,100.0,NaN
-5.283476,43.374291,train,9.025889376205182E41,100.0,1.0
-4.122759,40.599654,train,1.158457246551033E-5,0.0285555083790794,5.404042912916297E-5
-4.124269,40.689722,train,1.4980635185251753E-5,0.034245839809901674,6.988148517961766E-5
-4.007301,40.780884,train,0.0018499547145806965,0.8893363819628797,0.008556405479573396
-4.008665,40.870952,train,7.616944834505899E-6,0.016427814808422515,3.553265235925451E-5
-3.88881,40.781857,train,0.07670031981778747,26.42826327569532,0.2635230384041691
-3.890013,40.871929,train,1.6973971753082697E-5,0.03758580925693222,7.917924115887777E-5
-3.770313,40.782709,train,6.189035555792639E-4,0.2057374745950668,0.0028789433145300484
-3.772403,40.962856,train,0.0012580881958243586,0.6867174981773371,0.005834879055837505
-3.773456,41.052928,train,0.0015066389182662343,0.7897166791258219,0.006979585104755158
-3.307334,43.126549,train,3.4591944287844964E40,100.0,1.0
-3.307786,43.216593,train,1.7054477890345303E43,100.0,1.0
-3.061558,43.21699,train,1.0944741928835766E-281,1.0944741928835765E-279,5.1058467345641856E-281
-2.938623,43.036898,train,2.0970128745285056E40,100.0,1.0
-2.816137,42.946719,train,Infinity,100.0,NaN
-2.815868,43.036767,train,Infinity,100.0,NaN
-2.815599,43.126813,train,2.726085866825858E41,100.0,1.0
-2.693563,42.946456,train,1.9074584020768987E43,100.0,1.0
-2.692666,43.126549,train,1.1132569619624591E-278,1.113256961962459E-276,5.1934704910593624E-278
-2.569102,43.216196,train,8.68341903123901E21,100.0,1.0
-2.814782,43.396944,train,7.003387790274296E22,100.0,1.0
-2.691304,43.396677,train,6.494101877219152E22,100.0,1.0
-9.058246,39.614066,train,1.520959638138364E62,100.0,1.0
-8.941678,39.704166,train,9.523682187665883E62,100.0,1.0
-8.358476,39.702409,train,1.6761305546921864E40,100.0,1.0
-8.243807,39.521518,train,5.497232088258071E17,100.0,1.0
-8.242827,39.611613,train,1.71782940303793331E18,100.0,1.0
-8.241844,39.701706,train,3.3557262948832097E18,100.0,1.0
-8.127481,39.520703,train,5.4177162071299795E17,100.0,1.0
-8.126351,39.610795,train,3.3935695484510715E18,100.0,1.0
-8.125216,39.700886,train,Infinity,100.0,NaN
-8.00988,39.609861,train,Infinity,100.0,NaN
-8.008594,39.699948,train,Infinity,100.0,NaN
-8.941602,39.794266,train,8.780650982561342E62,100.0,1.0
-8.824347,39.974342,train,2.605328747556998E63,100.0,1.0
-8.591218,39.79356,train,Infinity,100.0,NaN
-8.590683,39.883656,train,2.5169016829914467E63,100.0,1.0
-8.47305,39.973277,train,Infinity,100.0,NaN
-8.472356,40.063368,train,Infinity,100.0,NaN
-8.47166,40.153458,train,Infinity,100.0,NaN
-8.3568,39.882595,train,Infinity,100.0,NaN
-8.355956,39.972686,train,Infinity,100.0,NaN
-8.355108,40.062775,train,Infinity,100.0,NaN
-8.354257,40.152863,train,Infinity,100.0,NaN
-8.239863,39.881887,train,Infinity,100.0,NaN
-8.238866,39.971976,train,Infinity,100.0,NaN
-8.237864,40.062063,train,Infinity,100.0,NaN
-8.236858,40.152149,train,Infinity,100.0,NaN
-8.122931,39.881062,train,Infinity,100.0,NaN
-8.121781,39.971148,train,Infinity,100.0,NaN
-8.120625,40.061233,train,Infinity,100.0,NaN
-8.119464,40.151316,train,Infinity,100.0,NaN
-8.006004,39.880119,train,Infinity,100.0,NaN
-8.0047,39.970202,train,Infinity,100.0,NaN
-8.002075,40.150363,train,Infinity,100.0,NaN
-7.890533,39.788976,train,Infinity,100.0,NaN
-7.887626,39.969137,train,Infinity,100.0,NaN
-7.886162,40.059215,train,Infinity,100.0,NaN
-7.884692,40.149292,train,Infinity,100.0,NaN
-7.547816,39.424809,train,1.42662269930546112E17,100.0,1.0
-7.433696,39.333229,train,1.1585467455275168E17,100.0,1.0
-7.431681,39.423301,train,1.75011446781168576E17,100.0,1.0
-7.317718,39.33161,train,1.0467145098577865E18,100.0,1.0
-7.315555,39.421677,train,6.44403470468542E16,100.0,1.0
-7.435701,39.243156,train,6.875320622224445E-4,0.23271779585434077,0.0031971607352072723
-7.20175,39.329876,train,4.8915998681085152E16,100.0,1.0
-7.206345,39.14975,train,1.0256400521409553E-4,0.07109353749583061,4.782439363069862E-4
-7.204053,39.239814,train,9.556298952348535E-4,0.3683449874718851,0.004438335633259127
-7.093112,39.057853,train,5.239700506071218E-5,0.05883126937711647,2.4437825957912253E-4
-7.773771,39.787801,train,Infinity,100.0,NaN
-7.772168,39.877879,train,Infinity,100.0,NaN
-7.767316,40.148102,train,Infinity,100.0,NaN
-7.651726,40.056724,train,Infinity,100.0,NaN
-7.649947,40.146793,train,Infinity,100.0,NaN
-7.417322,40.053759,train,Infinity,100.0,NaN
-7.415234,40.143818,train,Infinity,100.0,NaN
-7.180558,40.140368,train,2.84445727095264192E17,100.0,1.0
-7.063236,40.138464,train,9.4978830308808528E16,100.0,1.0
-8.705694,40.334473,train,Infinity,100.0,NaN
-8.705302,40.424561,train,Infinity,100.0,NaN
-8.587425,40.4242,train,Infinity,100.0,NaN
-8.586319,40.60437,train,Infinity,100.0,NaN
-8.469551,40.42372,train,Infinity,100.0,NaN
-8.468842,40.513804,train,Infinity,100.0,NaN
-8.468129,40.603887,train,Infinity,100.0,NaN
-8.352543,40.333035,train,Infinity,100.0,NaN
-8.35168,40.423119,train,Infinity,100.0,NaN
-8.234833,40.332316,train,Infinity,100.0,NaN
-8.233813,40.422398,train,Infinity,100.0,NaN
-8.231759,40.602556,train,Infinity,100.0,NaN
-8.117127,40.331478,train,Infinity,100.0,NaN
-8.11595,40.421556,train,Infinity,100.0,NaN
-8.114768,40.511634,train,Infinity,100.0,NaN
-8.000754,40.240442,train,Infinity,100.0,NaN
-7.999426,40.330519,train,Infinity,100.0,NaN
-7.998093,40.420595,train,Infinity,100.0,NaN
-7.995408,40.600742,train,Infinity,100.0,NaN
-7.881732,40.329441,train,Infinity,100.0,NaN
-7.878745,40.509585,train,Infinity,100.0,NaN
-7.877241,40.599654,train,Infinity,100.0,NaN
-8.582941,41.144847,train,Infinity,100.0,NaN
-8.581795,41.324994,train,Infinity,100.0,NaN
-8.581218,41.415066,train,Infinity,100.0,NaN
-8.580638,41.505136,train,Infinity,100.0,NaN
-8.463051,41.234426,train,Infinity,100.0,NaN
-8.46157,41.414568,train,Infinity,100.0,NaN
-8.460825,41.504636,train,Infinity,100.0,NaN
-8.585204,40.784535,train,Infinity,100.0,NaN
-8.584078,40.964694,train,Infinity,100.0,NaN
-8.583511,41.054771,train,Infinity,100.0,NaN
-8.467414,40.693968,train,Infinity,100.0,NaN
-8.466695,40.784048,train,Infinity,100.0,NaN
-8.465973,40.874127,train,Infinity,100.0,NaN
-8.465247,40.964204,train,Infinity,100.0,NaN
-8.464518,41.054279,train,Infinity,100.0,NaN
-8.344634,41.143737,train,Infinity,100.0,NaN
-8.343736,41.233808,train,Infinity,100.0,NaN
-8.341015,41.504012,train,Infinity,100.0,NaN
-8.225487,41.142998,train,Infinity,100.0,NaN
-8.224425,41.233066,train,Infinity,100.0,NaN
-8.222286,41.413199,train,Infinity,100.0,NaN
-8.106344,41.142135,train,Infinity,100.0,NaN
-8.103887,41.322265,train,Infinity,100.0,NaN
-8.102651,41.412328,train,Infinity,100.0,NaN
-8.101408,41.50239,train,Infinity,100.0,NaN
-7.987206,41.141149,train,Infinity,100.0,NaN
-7.985818,41.231212,train,Infinity,100.0,NaN
-7.984422,41.321273,train,Infinity,100.0,NaN
-7.983021,41.411333,train,Infinity,100.0,NaN
-7.868075,41.14004,train,Infinity,100.0,NaN
-7.863398,41.410213,train,Infinity,100.0,NaN
-8.349068,40.693361,train,Infinity,100.0,NaN
-8.348189,40.78344,train,Infinity,100.0,NaN
-8.347306,40.873516,train,Infinity,100.0,NaN
-8.34642,40.963591,train,Infinity,100.0,NaN
-8.345529,41.053665,train,Infinity,100.0,NaN
-8.230726,40.692634,train,Infinity,100.0,NaN
-8.229687,40.782709,train,Infinity,100.0,NaN
-8.228644,40.872784,train,Infinity,100.0,NaN
-8.227597,40.962856,train,Infinity,100.0,NaN
-8.112389,40.691784,train,Infinity,100.0,NaN
-8.109987,40.871929,train,Infinity,100.0,NaN
-7.994057,40.690814,train,Infinity,100.0,NaN
-7.989965,40.961019,train,Infinity,100.0,NaN
-7.875731,40.689722,train,Infinity,100.0,NaN
-7.874214,40.779789,train,Infinity,100.0,NaN
-7.872689,40.869854,train,Infinity,100.0,NaN
-7.871158,40.959917,train,Infinity,100.0,NaN
-7.86962,41.049979,train,Infinity,100.0,NaN
-8.45628,42.045017,train,Infinity,100.0,NaN
-8.819771,41.6859,train,Infinity,100.0,NaN
-8.819519,41.775967,train,Infinity,100.0,NaN
-8.6992,41.775715,train,Infinity,100.0,NaN
-8.57947,41.685272,train,Infinity,100.0,NaN
-8.578882,41.775337,train,Infinity,100.0,NaN
-8.578292,41.865402,train,Infinity,100.0,NaN
-8.577699,41.955465,train,Infinity,100.0,NaN
-8.460076,41.594703,train,Infinity,100.0,NaN
-8.459323,41.684769,train,Infinity,100.0,NaN
-8.458568,41.774833,train,Infinity,100.0,NaN
