x,y,species cloglog values
400.0,400.0,0.3607191
401.0,401.0,0.20581691
402.0,402.0,0.014126362
403.0,403.0,2.3110889E-4
404.0,404.0,8.637252E-4
405.0,405.0,0.0039844345
406.0,406.0,0.108228765
407.0,407.0,0.12246479
408.0,408.0,0.0021543452
409.0,409.0,0.0030171408
410.0,410.0,3.677475E-4
411.0,411.0,3.2759155E-4
412.0,412.0,1.9694564E-4
413.0,413.0,0.0014325557
414.0,414.0,0.0017514698
415.0,415.0,0.31385612
416.0,416.0,0.001333758
417.0,417.0,0.19296493
418.0,418.0,0.121467166
419.0,419.0,4.666541E-4
420.0,420.0,3.1972927E-4
421.0,421.0,0.080471076
422.0,422.0,0.12665942
423.0,423.0,0.06287978
424.0,424.0,0.6624726
425.0,425.0,0.41599956
426.0,426.0,6.1645865E-4
427.0,427.0,0.34639904
428.0,428.0,0.0021177642
429.0,429.0,0.8678021
430.0,430.0,9.1842667E-4
431.0,431.0,0.13708805
432.0,432.0,0.19296269
433.0,433.0,0.0020736514
434.0,434.0,2.603637E-4
435.0,435.0,0.0036765062
436.0,436.0,0.003090881
437.0,437.0,0.09775533
438.0,438.0,0.13242508
439.0,439.0,0.0045568002
440.0,440.0,0.014772155
441.0,441.0,7.2106696E-4
442.0,442.0,7.201267E-4
443.0,443.0,0.10714084
444.0,444.0,0.0019632678
445.0,445.0,0.035100393
446.0,446.0,9.897662E-4
447.0,447.0,1.9878463E-4
448.0,448.0,0.1747356
449.0,449.0,0.6498046
450.0,450.0,0.0014926377
451.0,451.0,0.002216575
452.0,452.0,0.0040719314
453.0,453.0,5.298377E-4
454.0,454.0,0.0014686502
455.0,455.0,0.0032276553
456.0,456.0,0.06759849
457.0,457.0,7.9108914E-4
458.0,458.0,7.034127E-5
459.0,459.0,0.88468593
460.0,460.0,0.0066663134
461.0,461.0,0.64689237
462.0,462.0,0.008646353
463.0,463.0,0.013450675
464.0,464.0,0.0015325594
465.0,465.0,0.7164198
466.0,466.0,7.9205085E-4
467.0,467.0,0.17449938
468.0,468.0,0.33289632
469.0,469.0,0.012117333
470.0,470.0,0.0018614656
471.0,471.0,0.09238538
472.0,472.0,4.0280327E-5
473.0,473.0,4.5313296E-4
474.0,474.0,0.71141696
475.0,475.0,0.15504898
476.0,476.0,0.013350663
477.0,477.0,0.7044916
478.0,478.0,0.4597432
479.0,479.0,0.016747737
480.0,480.0,2.2426723E-4
481.0,481.0,0.31686595
482.0,482.0,0.14544624
483.0,483.0,0.0064144107
484.0,484.0,0.08780058
485.0,485.0,0.03064994
486.0,486.0,0.08730492
487.0,487.0,0.48317656
488.0,488.0,0.20221804
489.0,489.0,0.006262729
490.0,490.0,0.018861566
491.0,491.0,4.366437E-4
492.0,492.0,0.003555438
493.0,493.0,0.11488787
494.0,494.0,0.0044482024
495.0,495.0,0.02272996
496.0,496.0,0.015584815
497.0,497.0,0.1580599
498.0,498.0,0.066318035
499.0,499.0,0.0026023667
500.0,500.0,0.0014772653
501.0,501.0,0.1641992
502.0,502.0,4.497027E-4
503.0,503.0,0.0041781394
504.0,504.0,0.0019153262
505.0,505.0,4.2354074E-4
506.0,506.0,0.17174225
507.0,507.0,0.40706
508.0,508.0,0.2435225
509.0,509.0,0.9097106
510.0,510.0,0.0026145184
511.0,511.0,0.109704055
512.0,512.0,0.015505139
513.0,513.0,6.710601E-5
514.0,514.0,0.012261108
515.0,515.0,0.11059461
516.0,516.0,0.50473213
517.0,517.0,0.7592935
518.0,518.0,0.007618064
519.0,519.0,0.12026256
520.0,520.0,0.16835234
521.0,521.0,0.002176719
522.0,522.0,2.2361366E-4
523.0,523.0,0.23738109
524.0,524.0,0.01852785
525.0,525.0,0.09478153
526.0,526.0,0.0018654726
527.0,527.0,0.010901975
528.0,528.0,0.033707026
529.0,529.0,0.033998292
530.0,530.0,0.19721554
531.0,531.0,0.11186914
532.0,532.0,0.22685592
533.0,533.0,4.1745405E-4
534.0,534.0,0.042712715
535.0,535.0,0.13123704
536.0,536.0,0.016104653
537.0,537.0,0.040135555
538.0,538.0,8.832025E-5
539.0,539.0,0.0014324595
540.0,540.0,0.0056828326
541.0,541.0,0.12222574
542.0,542.0,3.743624E-4
543.0,543.0,0.26655644
544.0,544.0,0.5692275
545.0,545.0,0.45512512
546.0,546.0,0.85137886
547.0,547.0,0.17944571
548.0,548.0,0.005533798
549.0,549.0,4.057652E-4
550.0,550.0,0.0038700597
551.0,551.0,0.007958126
552.0,552.0,4.341084E-4
553.0,553.0,0.054602414
554.0,554.0,0.04351523
555.0,555.0,0.19144401
556.0,556.0,0.2573251
557.0,557.0,0.001959747
558.0,558.0,0.009556596
559.0,559.0,0.005382302
560.0,560.0,0.19744258
561.0,561.0,0.025094628
562.0,562.0,0.0015450584
563.0,563.0,0.007732896
564.0,564.0,0.05242437
565.0,565.0,0.030764084
566.0,566.0,2.8206682E-4
567.0,567.0,0.03840593
568.0,568.0,0.07037449
569.0,569.0,0.0014604465
570.0,570.0,0.0030037381
571.0,571.0,0.12799646
572.0,572.0,0.0015245805
573.0,573.0,0.8128016
574.0,574.0,0.037010785
575.0,575.0,0.099390335
576.0,576.0,0.007107274
577.0,577.0,0.004802712
578.0,578.0,0.51597583
579.0,579.0,0.0018746213
580.0,580.0,0.0011184858
581.0,581.0,0.004768108
582.0,582.0,0.12267244
583.0,583.0,0.8106553
584.0,584.0,0.0037306198
585.0,585.0,0.028663624
586.0,586.0,5.3406373E-5
587.0,587.0,0.027030334
588.0,588.0,0.0011551611
589.0,589.0,0.0514103
590.0,590.0,6.2375073E-4
591.0,591.0,0.0100328
592.0,592.0,0.0013836278
593.0,593.0,3.35971E-4
