Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.67319E-4,22.772951336,0.490394948,0.147273749,0.1816609,0
2.7053E-4,23.014901199,0.49450534,0.146261945,0.185121107,0
2.72842E-4,23.259587648,0.497443661,0.145250141,0.188581315,0
2.77551E-4,23.507200127,0.503376344,0.144238336,0.192041522,0
2.80515E-4,23.758495424,0.507074617,0.143226532,0.193771626,0
2.82098E-4,24.011784529,0.509038274,0.142214727,0.197231834,0
2.84801E-4,24.267057278,0.512373981,0.141202923,0.198961938,0
2.88415E-4,24.524970042,0.516797845,0.140191119,0.200692042,0
2.91537E-4,24.756852228,0.520587074,0.139291737,0.200692042,0
2.95487E-4,25.021144024,0.525338165,0.138279933,0.205882353,0
2.98145E-4,25.258258012,0.528509058,0.137380551,0.209342561,0
3.01837E-4,25.528373925,0.532879136,0.136368746,0.216262976,0
3.08603E-4,25.77277991,0.540781418,0.135469365,0.21799308,0
3.10612E-4,26.020625003,0.543102585,0.134569983,0.221453287,0
3.12708E-4,26.269977945,0.545510293,0.133670601,0.223183391,0
3.16716E-4,26.521764113,0.55008188,0.13277122,0.224913495,0
3.20477E-4,26.776983236,0.554327843,0.131871838,0.228373702,0
3.24304E-4,27.003118591,0.558608571,0.131084879,0.233564014,0
3.29097E-4,27.264764613,0.563912052,0.130185497,0.237024221,0
3.32128E-4,27.529261113,0.567232518,0.129286116,0.237024221,0
3.3697E-4,27.763490307,0.572484052,0.128499157,0.238754325,0
3.44843E-4,28.002292963,0.580888883,0.127712198,0.24567474,0
3.52134E-4,28.280480113,0.588523999,0.126812816,0.249134948,0
3.54001E-4,28.527593202,0.59045713,0.126025857,0.249134948,0
3.58499E-4,28.777654631,0.59507558,0.125238898,0.25432526,0
3.60832E-4,29.029700808,0.597451368,0.124451939,0.259515571,0
