X,Y,CENTROX,CENTROY,PM,XCOORD,YCOORD
-3.9206623755225,42.9420398176886,425000.0000,4755000.000,1,-3.920662,42.942040
-3.79810490550386,42.9429599723718,435000.0000,4755000.000,1,-3.798105,42.942960
-3.67554208123155,42.9437489204164,445000.0000,4755000.000,1,-3.675542,42.943749
-3.55297472462165,42.9444066471708,455000.0000,4755000.000,1,-3.552975,42.944407
-3.30782970297926,42.9453283903835,475000.0000,4755000.000,1,-3.307830,42.945328
-3.18525368260028,42.9455923897215,485000.0000,4755000.000,1,-3.185254,42.945592
-3.06267641912099,42.9457251335296,495000.0000,4755000.000,1,-3.062676,42.945725
-4.16746063010048,43.0298374271218,405000.0000,4765000.000,1,-4.167461,43.029837
-3.92200720155877,43.0320782874567,425000.0000,4765000.000,1,-3.922007,43.032078
-3.79927075989665,43.0330013264319,435000.0000,4765000.000,1,-3.799271,43.033001
-3.67652893477686,43.0337927475602,445000.0000,4765000.000,1,-3.676529,43.033793
-3.55378255259689,43.0344525361125,455000.0000,4765000.000,1,-3.553783,43.034453
-3.43103243994824,43.0349806798087,465000.0000,4765000.000,1,-3.431032,43.034981
-3.30827942358123,43.0353771688182,475000.0000,4765000.000,1,-3.308279,43.035377
-3.18552433036975,43.0356419957607,485000.0000,4765000.000,1,-3.185524,43.035642
-3.06276798727616,43.0357751557067,495000.0000,4765000.000,1,-3.062768,43.035775
-4.16917115510139,43.1198674216015,405000.0000,4775000.000,1,-4.169171,43.119867
-4.04626823318478,43.1210573594565,415000.0000,4775000.000,1,-4.046268,43.121057
-3.80044199779847,43.1230412356881,435000.0000,4775000.000,1,-3.800442,43.123041
-3.67752034542764,43.1238351370685,445000.0000,4775000.000,1,-3.677520,43.123835
-3.55459411108011,43.1244969933953,455000.0000,4775000.000,1,-3.554594,43.124497
-3.43166412586579,43.1250267923236,465000.0000,4775000.000,1,-3.431664,43.125027
-3.30873122105494,43.1254245239707,475000.0000,4775000.000,1,-3.308731,43.125425
-3.18579622804263,43.1256901809172,485000.0000,4775000.000,1,-3.185796,43.125690
-3.06285997831317,43.1258237582075,495000.0000,4775000.000,1,-3.062860,43.125824
-4.04780610682824,43.2110896078474,415000.0000,4785000.000,1,-4.047806,43.211090
-3.67851633810074,43.2138760885549,445000.0000,4785000.000,1,-3.678516,43.213876
-3.55540942046963,43.2145400186697,455000.0000,4785000.000,1,-3.555409,43.214540
-3.43229873141333,43.2150714776441,465000.0000,4785000.000,1,-3.432299,43.215071
-3.30918510675754,43.2154704555429,475000.0000,4785000.000,1,-3.309185,43.215470
-3.18606938245401,43.2157369449076,485000.0000,4785000.000,1,-3.186069,43.215737
-3.06295239454457,43.2158709407561,495000.0000,4785000.000,1,-3.062952,43.215871
-4.04935109328718,43.3011203924567,415000.0000,4795000.000,1,-4.049351,43.301120
-3.80280074209426,43.3031167180808,435000.0000,4795000.000,1,-3.802801,43.303117
-3.43293627259398,43.3051147354636,465000.0000,4795000.000,1,-3.432936,43.305115
